epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,22891.8,1.22445,0.52913,0.00364,0.91442,0.82494,0.88319,0.59888,1.24587,0.52647,0.00446,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,23154.5,1.22421,0.52699,0.00361,0.91243,0.82589,0.88385,0.59851,1.24784,0.52553,0.00446,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,23416.6,1.22303,0.51765,0.00361,0.90984,0.82784,0.88352,0.59893,1.24845,0.52546,0.00446,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,23679.3,1.22469,0.53201,0.00363,0.9178,0.822,0.88347,0.59883,1.24814,0.52629,0.00446,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,23940.9,1.21008,0.51997,0.00362,0.91249,0.82454,0.88311,0.59945,1.2485,0.52566,0.00446,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,24203.3,1.2113,0.51985,0.00363,0.91885,0.81902,0.8835,0.59931,1.24695,0.52676,0.00445,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,24466.1,1.21469,0.51689,0.0036,0.92052,0.8222,0.88373,0.59958,1.24653,0.52535,0.00445,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,24728.9,1.20422,0.51234,0.00362,0.92197,0.82122,0.88376,0.59916,1.24631,0.52687,0.00445,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,24993.2,1.20893,0.51405,0.00358,0.92389,0.82018,0.88429,0.6,1.24596,0.52591,0.00445,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,25256.1,1.19571,0.51679,0.0036,0.92179,0.81989,0.88372,0.59929,1.24541,0.5284,0.00445,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,25518.3,1.2049,0.51529,0.00354,0.92077,0.82149,0.88403,0.60061,1.2458,0.52865,0.00445,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,25781.3,1.19464,0.50937,0.00353,0.91833,0.82095,0.88417,0.59997,1.2458,0.52763,0.00445,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,26043.9,1.19903,0.50871,0.0035,0.91467,0.82152,0.88402,0.59968,1.24493,0.52904,0.00444,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,26305.6,1.18409,0.49895,0.00348,0.916,0.82276,0.8838,0.60048,1.24484,0.52692,0.00444,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,26568.2,1.17487,0.49771,0.00347,0.91499,0.82261,0.88327,0.60098,1.24429,0.52716,0.00444,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,26830.8,1.19001,0.50259,0.00348,0.91344,0.82474,0.88352,0.60076,1.24386,0.52685,0.00444,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,27093.6,1.18904,0.50628,0.00345,0.91259,0.82546,0.88311,0.59994,1.24371,0.52935,0.00443,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,27355,1.17452,0.49739,0.00346,0.91918,0.82425,0.88332,0.60084,1.24464,0.52863,0.00443,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,27617.9,1.17594,0.49236,0.00345,0.91806,0.82447,0.88336,0.60059,1.24454,0.52794,0.00443,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,27879.8,1.17328,0.4939,0.00342,0.91894,0.82441,0.88345,0.60074,1.24426,0.52886,0.00443,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,28143,1.17213,0.48933,0.00343,0.91479,0.82362,0.88347,0.6007,1.24397,0.52921,0.00443,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,28405.3,1.16902,0.48861,0.00344,0.9181,0.82402,0.88386,0.60151,1.24503,0.52636,0.00443,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,28667,1.16096,0.48256,0.0034,0.91687,0.82326,0.88275,0.60148,1.24429,0.52682,0.00443,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,28929.6,1.1601,0.48179,0.0034,0.91918,0.82139,0.88384,0.60135,1.24405,0.52733,0.00443,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,29193,1.1552,0.48184,0.00339,0.91917,0.82152,0.88397,0.60135,1.24432,0.5266,0.00443,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,29454,1.15965,0.48567,0.0034,0.91764,0.82268,0.88414,0.60164,1.24379,0.52631,0.00443,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,29717,1.14956,0.48121,0.00335,0.91353,0.82683,0.88454,0.60212,1.24314,0.52526,0.00443,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,29980.7,1.14196,0.47702,0.00334,0.92117,0.82341,0.88449,0.60179,1.24173,0.52742,0.00443,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,30243.5,1.14096,0.47512,0.00336,0.91455,0.82666,0.88399,0.60194,1.24133,0.52814,0.00443,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
